,name,KIC,Insolation,Period,T_eff,Radius,masse_est,semi_au,st_log_lum,Discovery,H_Tidal,H_Radio,H_Total,TSM,Contrast,Theta,KOI,Kepler-ID,TTVperiod,TTVperiod_e,Epoch,Epoch_e,RpRs,RpRs_p,RpRs_m,b,b_ep,b_em,rhostar_model,rhostar_model_ep,rhostar_model_em,u1,u2,nTTobs,nTT,TTVflag,tdepth,tdepth_e,tdur,tdur_e,tduravg,tduravg_e,radius,radius_ep,radius_em,SNR,SNRwoTTV-SNRwTTV,MES,chisqwttv,chisqwottv,dchisq_inj,adrs,adrs_ep,adrs_em,incl,incl_ep,incl_em,s0,s0_ep,s0_em,kepmag,stellar_source,rhostar,rhostar_ep,rhostar_em,teff,teff_e,rstar,rstar_ep,rstar_em,mstar,mstar_ep,mstar_em,logg,logg_ep,logg_em,[M/H],[M/H]_e,StatusFlag,rhostar_model_lc,Epoch_lc,Per_lc,b_lc,RpRs_lc,lcflag,ttvper_cor,ttvper_cor_err
20,KOI-5949.01,12009917,0.694553314,559.785594,242.0505388,1.717551755,3.596450432,1.308118857,0.075, Kepler,1432962365.0,294000000000000.0,294000000000000.0,1.518448031,7.76e-10,0.002512714,5949.01,,559.78273396,0.01166196,366.169246,0.015225,0.015017,0.002218,-0.001775,0.2248,0.6106,-0.0498,83.12555,372.74702,-80.59395,0.3165,0.3015,3,3,1,234.7,57.1,1.780785,0.695178,1.781949,0.67442,1.668,0.244,-0.225,6.7,0.07,0.0,90.4,91.0,0.0,1637.287,600.4511,-533.7343,89.9921,0.0079,-0.0221,0.66,0.03,-0.04,13.295,2,1.15122,0.05993,-0.05283,5789,68,1.02,0.02,-0.02,0.86,0.03,-0.02,4.403,0.073,0.073,-0.227,0.043,SPNN,85.91086,366.194581,559.7866236,0.4059,0.01394,0,0.0,0.0
21,KOI-5971.01,12418418,0.117380365,493.30572,155.1952841,1.08,1.280551276,0.997421736,-0.932646889, Kepler,17749360.63,73100000000000.0,73100000000000.0,2.427516786,5.27e-10,0.002479657,5971.01,,493.32030586,0.01669919,788.178861,0.023014,0.016358,0.002424,-0.001678,0.8792,0.0423,-0.6414,31.23218,90.25567,-30.08522,0.6115,0.1205,3,3,1,323.2,60.5,3.33434,0.921384,3.315221,0.881258,1.371,0.201,-0.164,7.8,-0.01,0.0,94.9,95.0,0.0,858.4276,359.4335,-296.0041,89.9908,0.0092,-0.0436,0.22,0.02,-0.02,13.771,0,2.572,0.2741,-0.3057,4847,77,0.76,0.04,-0.03,0.8,0.03,-0.04,4.58,0.028,-0.038,0.16,0.15,PPNN,35.10501,294.877138,493.32274366,0.731,0.018029,0,0.0,0.0
22,KOI-5978.01,12734110,0.458396851,364.18129,218.1675041,1.78,3.821264808,0.937558461,-0.394761659, Kepler,735897300.2,327000000000000.0,327000000000000.0,1.172669498,1.62e-09,,5978.01,,364.15164119,0.0282103,542.33912,0.038121,0.020096,0.003213,-0.002892,0.7155,0.0041,-0.6463,10.2145,68.42177,-9.77454,0.6014,0.1376,4,4,0,460.9,113.7,3.46565,1.675246,3.301666,1.586351,1.812,0.383,-0.298,6.7,-0.04,0.0,220.7,221.0,0.0,445.6749,353.0792,-141.2317,89.9844,0.0156,-0.0661,0.45,0.08,-0.07,14.923,0,1.902,0.6126,-0.4238,4988,174,0.85,0.08,-0.09,0.83,0.06,-0.06,4.498,0.082,-0.067,0.3,0.225,SPNN,1.43391,178.141905,364.19703902,0.87,0.023013,0,0.0,0.0
23,KOI-5870.01,11129145,0.713900451,132.114,243.7188223,0.88623327,0.630374656,0.435192269,-0.869, Kepler,10806950621.0,40400000000000.0,40400000000000.0,3.850597026,1.87e-09,0.00227611,5870.01,,132.11446326,0.00040737,699.470728,0.015693,0.012873,0.002175,-0.001933,0.2894,0.4219,-0.248,51.50397,131.07772,-50.41451,0.5166,0.1926,7,7,0,189.0,48.2,2.410648,0.659156,2.192934,0.639204,0.856,0.16,-0.14,6.4,-0.95,0.0,156.7,169.0,0.0,391.2179,176.3929,-149.9339,89.985,0.0149,-0.0797,0.71,0.07,-0.06,13.586,1,3.67115,0.50226,-0.4513,4449,88,0.62,0.04,-0.04,0.63,0.03,-0.03,4.65,0.032,-0.033,-0.245,0.133,SPNN,70.9548,171.014024,132.11390961,0.1627,0.01275,0,4.34e-06,3.08e-06
24,KOI-2281.02,9221517,0.281633123,455.27405,193.1526139,1.485403423,2.810619609,1.089326664,-0.476, Kepler,615865385.6,190000000000000.0,190000000000000.0,1.498470915,8.37e-10,0.002882579,2281.01,Kepler-1173 b,0.76985558,9.4e-07,793.801878,0.00137,0.009639,0.000956,-0.000457,0.7048,0.106,-0.5998,0.55198,5.40794,-0.22073,0.5366,0.1767,1741,1734,4,110.0,5.2,1.04371,0.049825,0.967388,0.047487,0.815,0.084,-0.051,28.7,-23.78,17.0,17526.8,19389.0,0.0,5.7827,0.5427,-1.6774,88.4447,1.5549,-8.811,1455.58,86.2,-79.02,13.829,2,2.53074,0.06432,-0.09251,5080,65,0.77,0.02,-0.02,0.85,0.02,-0.02,4.533,0.044,0.044,0.157,0.042,PPPP,3.11919,65.519409,0.76985496,0.6337,0.010147,0,9.2e-07,1.23e-06
25,KOI-2281.02,9221517,0.281633123,455.27405,193.1526139,1.485403423,2.810619609,1.089326664,-0.476, Kepler,615865385.6,190000000000000.0,190000000000000.0,1.498470915,8.37e-10,0.002882579,2281.02,,455.17865888,0.04389082,756.064253,0.053567,0.011371,0.00131,-0.001222,0.6263,0.0269,-0.6068,0.72419,0.70854,-0.70854,0.5366,0.1767,3,3,0,145.2,27.2,15.130306,2.034619,14.875075,2.018573,0.957,0.119,-0.102,5.4,-0.01,0.0,191.8,192.0,0.0,225.3167,29.103,-77.608,89.9698,0.0302,-0.1911,0.29,0.02,-0.02,13.829,2,2.53074,0.06432,-0.09251,5080,65,0.77,0.02,-0.02,0.85,0.02,-0.02,4.533,0.044,0.044,0.157,0.042,SPNN,1.08604,300.853164,455.20498829,0.0981,0.011164,0,0.0,0.0
26,KOI-7470.01,11671646,0.401260316,392.50115,211.0261178,1.575,3.10446927,0.976757815,-0.417, Kepler,172205018.5,227000000000000.0,227000000000000.0,1.626272282,1.17e-09,0.001834976,7470.01,,392.52489764,0.0407588,431.744076,0.057287,0.013156,0.002113,-0.001188,0.7233,0.059,-0.5863,1.99459,3.92438,-1.96219,0.5711,0.1569,3,3,0,223.4,42.0,9.060394,1.920611,9.147622,1.769186,1.205,0.153,-0.153,7.2,-0.01,7.2,244.8,245.0,0.0,298.9486,86.9667,-104.3601,89.9738,0.0262,-0.1398,0.4,0.04,-0.04,13.87,1,2.04439,0.22037,-0.18302,5016,97,0.82,0.02,-0.02,0.81,0.05,-0.04,4.515,0.036,-0.031,0.066,0.121,PPNP,3.02761,431.794129,392.52203652,0.4844,0.01412,0,0.0,0.0
27,KOI-6343.01,3548622,0.615537491,569.45051,234.8514708,1.96,4.500244547,1.35564832,0.05354859, Kepler,1068024398.0,437000000000000.0,437000000000000.0,1.125112556,9.4e-10,0.000628155,6343.01,,569.44787075,0.03400707,645.915542,0.052887,0.018403,0.001967,-0.001704,0.2371,0.4115,-0.2079,1.07836,2.87824,-1.02794,0.3305,0.297,3,3,0,375.3,66.3,9.663264,2.573565,9.380943,2.439579,1.843,0.523,-0.322,8.2,-0.01,8.3,223.9,224.0,0.0,292.2057,160.0231,-55.3926,89.9771,0.0229,-0.1088,0.6,0.11,-0.09,14.542,0,1.702,0.4557,-0.9074,6117,191,0.95,0.29,-0.1,1.02,0.14,-0.14,4.496,0.05,-0.213,-0.22,0.3,PPFP,2.01814,76.385145,569.49480389,0.1293,0.017829,0,0.0,0.0
28,KOI-7591.01,8297319,0.301194401,328.32211,196.4225661,1.274700599,2.167739611,0.821441335,-0.692, Kepler,130210.2007,120000000000000.0,120000000000000.0,1.183850281,1.08e-09,0.001823804,7591.01,,328.34669627,0.03701338,733.665659,0.077664,0.017317,0.001573,-0.002144,0.4342,0.2752,-0.3862,0.08838,0.51062,-0.0851,0.5478,0.1676,3,3,0,346.8,55.8,16.318627,4.596793,14.914244,4.530866,1.242,0.125,-0.148,8.5,-0.43,7.4,332.2,340.0,0.0,111.2402,47.6404,-37.0536,89.9392,0.0607,-0.3441,0.3,0.03,-0.02,14.937,1,3.40967,0.18395,-0.20383,4786,84,0.65,0.01,-0.01,0.69,0.02,-0.03,4.641,0.016,-0.022,-0.31,0.127,PPNP,0.26597,77.129814,328.27597039,0.1285,0.016863,0,0.0,0.0
29,KOI-7923.01,9084569,0.429234854,395.13138,214.6117035,0.910840046,0.69539219,0.960843176,-0.402, Kepler,188425871.2,43900000000000.0,43900000000000.0,2.74878119,4.04e-10,0.004646244,7923.01,,395.13251222,0.02270332,490.88534,0.034393,0.010075,0.001291,-0.000789,0.4504,0.3227,-0.421,0.0179,0.2787,-0.01115,0.5859,0.1486,4,4,0,125.9,10.3,21.431383,1.156615,21.344222,1.03997,0.896,0.126,-0.07,14.4,-0.02,10.0,700.7,701.0,0.0,136.6423,12.9542,-45.3398,89.9266,0.0734,-0.4405,0.42,0.03,-0.03,12.642,1,1.94993,0.11855,-0.08911,5064,79,0.82,0.01,-0.01,0.76,0.03,-0.02,4.492,0.021,-0.014,-0.113,0.093,PPPN,0.06672,95.740552,395.13076819,0.8204,0.011484,0,0.0,0.0
