name,KIC,Insolation,Period,T_eff,Radius,masse_est,semi_au,st_log_lum,Discovery,H_Tidal,H_Radio,H_Total,TSM,Contrast,Theta
KOI-5971.01,12418418,0.117380365,493.30572,155.1952841,1.08,1.280551276,0.997421736,-0.932646889, Kepler,17749360.63,7.31E+13,7.31E+13,2.427516786,5.27E-10,0.002479657
KOI-5978.01,12734110,0.458396851,364.18129,218.1675041,1.78,3.821264808,0.937558461,-0.394761659, Kepler,735897300.2,3.27E+14,3.27E+14,1.172669498,1.62E-09,
KOI-5870.01,11129145,0.713900451,132.114,243.7188223,0.88623327,0.630374656,0.435192269,-0.869, Kepler,10806950621,4.04E+13,4.04E+13,3.850597026,1.87E-09,0.00227611
KOI-2281.02,9221517,0.281633123,455.27405,193.1526139,1.485403423,2.810619609,1.089326664,-0.476, Kepler,615865385.6,1.90E+14,1.90E+14,1.498470915,8.37E-10,0.002882579
KOI-7470.01,11671646,0.401260316,392.50115,211.0261178,1.575,3.10446927,0.976757815,-0.417, Kepler,172205018.5,2.27E+14,2.27E+14,1.626272282,1.17E-09,0.001834976
KOI-6343.01,3548622,0.615537491,569.45051,234.8514708,1.96,4.500244547,1.35564832,0.05354859, Kepler,1068024398,4.37E+14,4.37E+14,1.125112556,9.40E-10,0.000628155
KOI-7591.01,8297319,0.301194401,328.32211,196.4225661,1.274700599,2.167739611,0.821441335,-0.692, Kepler,130210.2007,1.20E+14,1.20E+14,1.183850281,1.08E-09,0.001823804
KOI-7923.01,9084569,0.429234854,395.13138,214.6117035,0.910840046,0.69539219,0.960843176,-0.402, Kepler,188425871.2,4.39E+13,4.39E+13,2.74878119,4.04E-10,0.004646244
KOI-8047.01,11294822,0.383837223,302.34971,208.6971071,1.86279597,4.127913068,0.805242068,-0.604, Kepler,42156649694,3.75E+14,3.75E+14,1.390628408,2.41E-09,0.001393635
KOI-7953.01,9650579,0.691631797,432.96905,241.7956006,1.628521445,3.285695429,1.074144043,-0.098, Kepler,911022059.7,2.51E+14,2.51E+14,0.733144785,1.03E-09,0.001141128
